time_utc,et,L_km,L_m,L_AU
1986-01-24 06:40:00,-439795144.8154153,2677348205.749226,2677348205749.226,17.896967337979806
1986-01-24 06:41:00,-439795084.8154153,2677349727.905608,2677349727905.6084,17.896977512966757
1986-01-24 06:42:00,-439795024.8154153,2677351250.089318,2677351250089.318,17.89698768813638
1986-01-24 06:43:00,-439794964.8154153,2677352772.3004127,2677352772300.4126,17.896997863489062
1986-01-24 06:44:00,-439794904.8154153,2677354294.5389514,2677354294538.951,17.897008039025195
1986-01-24 06:45:00,-439794844.8154153,2677355816.804993,2677355816804.993,17.897018214745174
1986-01-24 06:46:00,-439794784.8154153,2677357339.0985966,2677357339098.5967,17.897028390649393
1986-01-24 06:47:00,-439794724.8154153,2677358861.419823,2677358861419.823,17.89703856673826
1986-01-24 06:48:00,-439794664.8154153,2677360383.7687316,2677360383768.7314,17.897048743012167
1986-01-24 06:49:00,-439794604.8154153,2677361906.145381,2677361906145.381,17.89705891947151
1986-01-24 06:50:00,-439794544.8154153,2677363428.5498314,2677363428549.8315,17.8970690961167
1986-01-24 06:51:00,-439794484.8154153,2677364950.982143,2677364950982.143,17.897079272948123
1986-01-24 06:52:00,-439794424.8154153,2677366473.4423776,2677366473442.3774,17.8970894499662
1986-01-24 06:53:00,-439794364.8154153,2677367995.930593,2677367995930.593,17.89709962717132
1986-01-24 06:54:00,-439794304.8154153,2677369518.446853,2677369518446.853,17.897109804563904
1986-01-24 06:55:00,-439794244.8154153,2677371040.991217,2677371040991.2173,17.897119982144353
1986-01-24 06:56:00,-439794184.8154153,2677372563.563747,2677372563563.747,17.89713015991308
1986-01-24 06:57:00,-439794124.8154153,2677374086.164504,2677374086164.504,17.897140337870493
1986-01-24 06:58:00,-439794064.8154153,2677375608.7935486,2677375608793.549,17.897150516016996
1986-01-24 06:59:00,-439794004.8154153,2677377131.4509444,2677377131450.9443,17.897160694353015
1986-01-24 07:00:00,-439793944.8154153,2677378654.1367526,2677378654136.7524,17.89717087287896
1986-01-24 07:01:00,-439793884.8154153,2677380176.8510346,2677380176851.0347,17.89718105159524
